"Amanda Pinson",9460,1310,"Other Concerts"
"Amandla",11799,1310,"Other Concerts"
"Amanna 18",12451,1310,"Other Concerts"
"Amarraditos",12774,1310,"Other Concerts"
"Amature Night on Tour",3727,1310,"Other Concerts"
"Amber Pacific",9953,1310,"Other Concerts"
"Ambrosia",2772,1310,"Other Concerts"
"Amel Larrieux",12669,1310,"Other Concerts"
"America",26,1304,"Classic Rock"
"America's Smooth Jazzfest",4129,1310,"Other Concerts"
"American Anti-Gravity",14023,1310,"Other Concerts"
"American Chamber Players",13062,1310,"Other Concerts"
"American Drummers Achievement Awards",4637,1310,"Other Concerts"
"American English",8087,1310,"Other Concerts"
"American Eyes",12546,1310,"Other Concerts"
"American Fleadh",4180,1310,"Other Concerts"
"American Head Charge",9067,1308,"Hard Rock"
"American Hi-Fi",2174,1310,"Other Concerts"
"American Idols Live",3409,1311,"Pop"
"American Motherload",8569,1310,"Other Concerts"
"American Music Awards",1425,1310,"Other Concerts"
"American Rockstar",9188,1310,"Other Concerts"
"American Salute",7672,1310,"Other Concerts"
"American Werewolves",10756,1310,"Other Concerts"
"American Youth Symphony and L.A. Children's Chorus",7531,1310,"Other Concerts"
"Amici Forever",6121,1310,"Other Concerts"
"Amiina",12455,1310,"Other Concerts"
"Amity Lane",12300,1310,"Other Concerts"
"Amjad Ali Khan",14212,1310,"Other Concerts"
"Amnesty Road",5870,1310,"Other Concerts"
"Amon Amarth",14233,1310,"Other Concerts"
"Amon Tobin",12532,1310,"Other Concerts"
"Amor a LA Musica",4663,1310,"Other Concerts"
"Amorphis",6901,1310,"Other Concerts"
"Amos Lee",7697,1306,"Country and Folk"
"Amr Diab",8252,1310,"Other Concerts"
"AmsterJam",7586,1310,"Other Concerts"
"Amy Correia",9078,1310,"Other Concerts"
"Amy Dalley",13591,1310,"Other Concerts"
"Amy Grant",27,1300,"Adult Contemporary"
"Amy Hanaiali'i",12826,1310,"Other Concerts"
"Amy Millan",10553,1310,"Other Concerts"
"Amy Ray",1707,1310,"Other Concerts"
"Amy Rigby",9860,1310,"Other Concerts"
"Amy Winehouse",5585,1310,"Other Concerts"
"An Albatross",10245,1310,"Other Concerts"
"An Evening of Americana Music",5453,1310,"Other Concerts"
"An Evening of Doo Wop",2859,1310,"Other Concerts"
"An Evening of Love Songs",10283,1310,"Other Concerts"
"An Evening with Blackmore's Night",7491,1310,"Other Concerts"
"An Evening with Larry Hagman",10621,1310,"Other Concerts"
"Ana Egge",9576,1310,"Other Concerts"
"Ana Gabriel",28,1315,"World Concerts"
"Ana Moura",14598,1310,"Other Concerts"
"Ana Popovic",9955,1310,"Other Concerts"
"Anaheim Live",12254,1310,"Other Concerts"
"Anais Mitchell",14061,1310,"Other Concerts"
"Anathello",10459,1310,"Other Concerts"
"Anberlin",7290,1310,"Other Concerts"
"And One",14752,1310,"Other Concerts"
"And You Will Know Us by the Trail of Dead",4224,1310,"Other Concerts"
"Andras Schiff",7576,1310,"Other Concerts"
"Andre Agassi Grand Slam Concert",3506,1310,"Other Concerts"
"Andre Nickatina",14088,1310,"Other Concerts"
"Andre Rieu",2635,1305,"Classical and Orchestra"
"Andre Watts",7597,1310,"Other Concerts"
"Andrea Bocelli",32,1310,"Other Concerts"
"Andrea Marcovicci",11352,1310,"Other Concerts"
"Andreas Vollenweider",7826,1310,"Other Concerts"
"Andrew 'Jr. Boy' Jones",13938,1310,"Other Concerts"
"Andrew Bird",9693,1310,"Other Concerts"
"Andrew Peterson",11277,1310,"Other Concerts"
"Andrew Ripp",11882,1310,"Other Concerts"
"Andrew WK",5367,1310,"Other Concerts"
"Andsnes Plays Mozart",7537,1310,"Other Concerts"
"Andy",3049,1310,"Other Concerts"
"Andy and Khaled",2139,1310,"Other Concerts"
"Andy Cooney",8006,1310,"Other Concerts"
"Andy Davis",11891,1310,"Other Concerts"
"Andy Garcia",8828,1310,"Other Concerts"
"Andy Griggs",1042,1310,"Other Concerts"
"Andy Stochansky",8114,1310,"Other Concerts"
"Andy Summers",8262,1310,"Other Concerts"
"Andy Ulseth",14646,1310,"Other Concerts"
"Andy Williams",4783,1311,"Pop"
"Andy/Siavash/Monsour",7615,1310,"Other Concerts"
"Angela Bofill",4325,1310,"Other Concerts"
"Angelique Kidjo",3006,1310,"Other Concerts"
"Angels and Airwaves",8900,1310,"Other Concerts"
"Angie Aparo and The Infidels",5869,1310,"Other Concerts"
"Angie Stone",5717,1310,"Other Concerts"
"Angry Chair",9524,1310,"Other Concerts"
"Ani DiFranco",34,1306,"Country and Folk"
"Anicca",13206,1310,"Other Concerts"
"Anik Jean",8007,1310,"Other Concerts"
"Animal Collective",8115,1310,"Other Concerts"
"Animal Magnetism",12066,1310,"Other Concerts"
"Animal Planet",7164,1310,"Other Concerts"
"Animation",10362,1310,"Other Concerts"
"Animosity",12670,1310,"Other Concerts"
"Animotion",8792,1310,"Other Concerts"
"Anita Baker",3751,1313,"R&B"
"Ankla",11272,1310,"Other Concerts"
"Ann Hampton Callaway",2916,1310,"Other Concerts"
"Ann Margaret",4027,1310,"Other Concerts"
"Ann Wilson",35,1310,"Other Concerts"
"Anna Fermin's Trigger Gospel",11556,1310,"Other Concerts"
"Anna Nalick",8518,1310,"Other Concerts"
"Anna Netrebko",12917,1310,"Other Concerts"
"Anna Oxa",5463,1310,"Other Concerts"
"Anna Vissi",5391,1310,"Other Concerts"
"Anne Hills",10709,1310,"Other Concerts"
"Anne McCue",12194,1310,"Other Concerts"
"Anne Murray",36,1310,"Other Concerts"
"Annie & Rod Capps",13343,1310,"Other Concerts"
"Annie Capps Trio",9577,1310,"Other Concerts"
"Annie Lennox",4070,1310,"Other Concerts"
"Anniversary House Music",9806,1310,"Other Concerts"
"Annual Miami Bash",14846,1310,"Other Concerts"
"Annual Pitch Music Awards",10009,1310,"Other Concerts"
"Annual S.F. Blues Festival",7507,1310,"Other Concerts"
"Annual Schucks NHRA NW Nationals",12782,1310,"Other Concerts"
"Anos Felices",14589,1310,"Other Concerts"
"Another Soul Explosion",5445,1310,"Other Concerts"
"Another State of Mind",5800,1310,"Other Concerts"
"Anoushirvan Rohani",4009,1310,"Other Concerts"
"Anoushka Shankar",11914,1310,"Other Concerts"
"Anson Funderburgh & The Rockets",4440,1310,"Other Concerts"
"Anthony B",8322,1310,"Other Concerts"
"Anthony Gomes",8108,1306,"Country and Folk"
"Anthony Green",12074,1310,"Other Concerts"
"Anthony Hamilton",5568,1310,"Other Concerts"
"Anthony Santos",13063,1310,"Other Concerts"
"Anthrax",4554,1310,"Other Concerts"
"Anti-Flag",4848,1310,"Other Concerts"
"Antibalas",12790,1310,"Other Concerts"
"Antibalas Afrobeat Orchestra",6705,1310,"Other Concerts"
"Antidoto",10414,1315,"World Concerts"
"Antifreeze Blues Festival",11791,1310,"Other Concerts"
"Antigone Rising",8008,1310,"Other Concerts"
"Antje Duvekot",12533,1310,"Other Concerts"
"Anton Newcombe",12456,1310,"Other Concerts"
"Antonis Remos",14423,1310,"Other Concerts"
"Antony and the Johnsons",7236,1310,"Other Concerts"
"Anuna: Celtic Origins",13806,1310,"Other Concerts"
"Apes Presents New Year's Eve",11775,1310,"Other Concerts"
"Apex",12547,1310,"Other Concerts"
"Aphrodite",13231,1310,"Other Concerts"
"Apocalyptica",6553,1310,"Other Concerts"
"Apostle of Hustle",13064,1310,"Other Concerts"
"Appetite for Destruction",8731,1308,"Hard Rock"
"Apples In Stereo",11216,1310,"Other Concerts"
"April Wine",7069,1310,"Other Concerts"
"Aquabats",6921,1312,"Punk Rock"
